k,Rayyan ID,Title,Year,Species (Latin),Species (English),Genetic line (if applicable),Order,Family,Recording location,Group context,Juveniles present?,Number of animals,Number of vocalizations (total recorded),Number of vocalizations (included in analysis),Call classification,Full repertoire analysed?,"Repertoire size (hand, total)","Repertoire size (hand, juvenile) - indicate how many calls of total repertoire are juvenile ",Repertoire size (automated),Graded vs discrete (do authors mention reportoire is graded?),Data availability,Notes,Preselected non-noisy calls,Spectrogram type,FFT size,Window type,Overlap (%),Bandpass filtered,High pass freq threshold,Low pass freq threshold ,Notes (preprocess),Package,Number of features,Multi-unit calls?,Characteristics general,Syllables/units,Repeated measurements at multiple locations in call?,PRAAT measures,AvisoftSAS Lab Pro measurements,Raven Pro measurements,warblR measurements,Custom features,Custom measurement of:,Notes call features,Language,analysis_methods,Analysis based on:,Notes analysis,Open access,License,Done?,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,notes,doi,keywords,pubmed_id,pmc_id,PDF files,n_animals,n_recs_analysed,juvenile,rep_size
17/08/2025 20:01:11,rayyan-305067170,Vocal complexity and sociality in spotted paca (Cuniculus paca).,2018,Cuniculus paca,spotted paca,,Rodentia,Cuniculidae,farm,"group, solitary",Yes,51,,401,Hand,Yes,8,1.0,,No,"Yes, preprocessed",,yes,,4096,Hanning/Hann,90,No,,,,Raven Pro,5,Some,duration,,,,,max/peak frequency,,"minimum frequency, maximum frequency, number of harmonics under 1 kHz",,,not specified,LDA,features,language not clear,Yes,CC BY 4.0,x,rayyan-305067170,Vocal complexity and sociality in spotted paca (Cuniculus paca).,2018,,,Plos One,1932-6203 (Electronic),13.0,1.0,e0190961,Lima SGC and Sousa-Lima RS and Tokumaru RS and Nogueira-Filho SLG and Nogueira SSC,https://pubmed.ncbi.nlm.nih.gov/29364898/,eng,,United States,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1371/journal.pone.0190961,"Animals;Behavior, Animal;Biological Evolution;Cuniculidae/*psychology;Female;Linear Models;Male;Models, Psychological;Phylogeny;Psychoacoustics;*Social Behavior;*Vocalization, Animal",29364898,PMC5783385,,51,401,1.0,8
14/10/2025 05:43:57,rayyan-305067742,Structural Classification of Wild Boar (Sus scrofa) Vocalizations.,2016,Sus scrofa,wild boar,,Artiodactyla,Suidae,farm,group,Yes,,,616,"Hand, Automated",Yes,4,,2-4,Yes,No,,yes,,1024,Hamming,50,No,,,,MIR Toolbox (MATLAB),19,No,duration,,,,,,,"mean differential of the dominant frequency (DDF), maximum differential of the dominant frequency (MDDF), standard deviation of the dominant frequency (STDF), mean differential of the normalized root-mean-square (DRMS), standard deviation of the normalized root-mean-square (STRMS), mean differential of the spectral flux (DSF), maximum differential of the spectral flux (MDSF), and standard deviation of the spectral flux (STSF), A25, A50, A75, spectral centroid, spectral entropy, Coefficient'of'variation'of'the'rootMmeanMsquare'of'the'
amplitude'(CVA), spectral flatness, spectral flux, zero-crossings","dominant frequency, amplitude",,"SPSS, MATLAB",hierarchical cluster analysis,features,,Yes,CC BY 4.0,x,rayyan-305067742,Structural Classification of Wild Boar (Sus scrofa) Vocalizations.,2016,4.0,,Ethology,0179-1613 (Print),122.0,4.0,329-342,Garcia M and Gingras B and Bowling DL and Herbst CT and Boeckle M and Locatelli Y and Fitch WT,https://pubmed.ncbi.nlm.nih.gov/27065507/,eng,,Germany,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1111/eth.12472,,27065507,PMC4793927,,,616,0.0,4
17/08/2025 17:31:03,rayyan-305067080,Vocal repertoire of free-ranging adult golden snub-nosed monkeys (Rhinopithecus roxellana).,2018,Rhinopithecus roxellana,golden snub-nosed monkey,,Primates,Cercopithecidae,field,group,No,71,1826.0,311,Hand,Yes,18,,,No,No,,yes,linear,1323,Gaussian,,No,,,,Praat,16,Some,duration,,,"mean F0, max F0, min F0, range F0, std f0, start f0, end f0, %T_min f0, %T_max f0, meanAMP, minAMP, maxAMP, rangeAMP, HNR, jitter",,,,,,,Praat,DFA,features,,Yes,CC BY-NC 4.0,x,rayyan-305067080,Vocal repertoire of free-ranging adult golden snub-nosed monkeys (Rhinopithecus roxellana).,2018,6.0,,American Journal Of Primatology,1098-2345 (Electronic),80.0,6.0,e22869,Fan P and Liu X and Liu R and Li F and Huang T and Wu F and Yao H and Liu D,https://pubmed.ncbi.nlm.nih.gov/29767431/,eng,,United States,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1002/ajp.22869,"Animals;China;Colobinae/*physiology;Female;Male;Sex Characteristics;*Social Behavior;Sound Spectrography;Vocalization, Animal/*classification",29767431,PMC6032912,,71,311,0.0,18
20/08/2025 21:30:32,rayyan-305067090,"Vocal repertoire of free-ranging black howler monkeys' (Alouatta pigra): Call types, contexts, and sex-related contributions.",2017,Alouatta pigra,Yucatán black howler monkey,,Primates,Atelidae,field,group,Yes,20,,540,Hand,Yes,12,,,No,No,,yes,linear,256,Hanning/Hann,not reported,No,,,,AvisoftSAS Lab Pro,8,No,"duration, total power",,,,"min frequency, max frequency, bandwidth, Q25, Q50, entropy",,,,,,SPSS,DFA,features,,No,,x,rayyan-305067090,"Vocal repertoire of free-ranging black howler monkeys' (Alouatta pigra): Call types, contexts, and sex-related contributions.",2017,5.0,,American Journal Of Primatology,1098-2345 (Electronic),79.0,5.0,,Briseño-Jaramillo M and Biquand V and Estrada A and Lemasson A,https://pubmed.ncbi.nlm.nih.gov/28095604/,eng,,United States,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1002/ajp.22630,"Acoustics;Alouatta/*physiology;Animals;Male;Mexico;Sex Factors;*Social Behavior;*Vocalization, Animal",28095604,,,20,540,0.0,12
20/08/2025 21:50:59,rayyan-305067091,Bioacoustic characterization of the black-and-white ruffed lemur (Varecia variegata) vocal repertoire.,2023,Varecia variegata,black-and-white ruffed lemur,,Primates,Lemuridae,field,group,Unknown,31,,688,"Hand, Automated",Yes,11,,3-4,No,"Yes, preprocessed",,yes,linear,512,Hanning/Hann,not reported,No,,,,warbleR,33,Some,duration,"unit duration, number of units, syllable order, syllable type, # syllable types",,,,,"meanfreq, freq.median, freq.Q25, freq.Q75, freq.IQR, time.median, time.Q25, time.Q75, time.IQR, skew, kurt, sp.ent, time.ent, entropy, sfm, meandom, drfange, midindx",,,,R,"DFA, PCA, NbClust",features,,No,,x,rayyan-305067091,Bioacoustic characterization of the black-and-white ruffed lemur (Varecia variegata) vocal repertoire.,2023,11.0,,Primates,1610-7365 (Electronic),64.0,6.0,621-635,Batist CH and Razafindraibe MN and Randriamanantena F and Baden AL,https://pubmed.ncbi.nlm.nih.gov/37584832/,eng,,Japan,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1007/s10329-023-01083-8,Humans;Animals;*Lemuridae;*Lemur;Madagascar,37584832,,,31,688,0.0,11
20/08/2025 22:09:48,rayyan-305067094,Vocal repertoire of the social giant otter.,2014,Pteronura brasiliensis,giant otter,,Carnivora,Mustelidae,field,group,Yes,43,6246.0,458,Hand,Yes,15,,,Yes,No,"19 subtypes, some analysis of types, but not classified with automated methods",yes,linear,1024,Hanning/Hann,50,No,,,,Raven Pro,13,Some,duration,number of units,,,,"max/peak frequency, 3rd quartile frequency",,"lowest frequency, highest frequency, start frequency, maximum frequency, end frequency, bandwidth, time to max, time max to end, plateau duration","F0, peak frequency","custom features: f0 for harmonic, pf for non-harmonic; the lowest and highest seem to be lowest harmonic and highest harmonic, but unclear",R,"LDA, PERMANOVA, PCoA",features,,No,,x,rayyan-305067094,Vocal repertoire of the social giant otter.,2014,11.0,,The Journal Of The Acoustical Society Of America,1520-8524 (Electronic),136.0,5.0,2861-75,Leuchtenberger C and Sousa-Lima R and Duplaix N and Magnusson WE and Mourão G,https://pubmed.ncbi.nlm.nih.gov/25373985/,eng,,United States,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1121/1.4896518,"Acoustics;Age Factors;Agonistic Behavior;Animals;Brazil;Emotional Intelligence;Feeding Behavior;Female;Grooming;Male;Models, Psychological;Otters/*physiology/psychology;Social Behavior;Sound Spectrography;Territoriality;*Vocalization, Animal",25373985,,,43,458,0.0,15
21/08/2025 19:42:11,rayyan-305067095,The vocal repertoire of Tibetan macaques (Macaca thibetana): A quantitative classification,2016,Macaca thibetana,Tibetan macaque,,Primates,Cercopithecidae,field,group,Yes,43,534.0,126,Hand,Yes,11,,,Yes,No,,yes,linear,1024,Hamming,50,No,,,,AVISOFT-SASLab Pro,30,Some,duration,,"yes, the start, the end, the center, the maximum amplitude, and the lowest and highest position of the peak frequency contour of the entire call",,"peak frequency, min frequency, max frequency, bandwidth",,,,,,R,"DFA, PCA, LDA",features,,No,,x,rayyan-305067095,The vocal repertoire of Tibetan macaques (Macaca thibetana): A quantitative classification.,2016,9.0,,American Journal Of Primatology,1098-2345 (Electronic),78.0,9.0,937-49,Bernstein SK and Sheeran LK and Wagner RS and Li JH and Koda H,https://pubmed.ncbi.nlm.nih.gov/27243451/,eng,,United States,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1002/ajp.22564,"Acoustics;Animals;Copulation;Female;*Macaca;Male;Sound Spectrography;*Vocalization, Animal",27243451,,,43,126,0.0,11
21/08/2025 20:07:51,rayyan-305067097,"Vocal repertoire, micro-geographical variation and within-species acoustic partitioning in a highly colonial pinniped, the Cape fur seal.",2021,Arctocephalus pusillus,Cape fur seal,,Carnivora,Otariidae,field,group,Yes,362,,3825,Hand,Yes,5,1.0,,No,"Yes, preprocessed",,yes,linear,1024,Hamming,75,Highpass,100.0,,,Avisoft SAS Lab Pro,9,Some,duration,,,,"fundamental frequency, bandwidth, Q25, Q50, Q75",,,"frequency value of the first, second and third energy peak (Fmax1, Fmax2, Fmax3; Hz), percentage of energy below 500 Hz for adults' calls (Ebelow500; %) and below 2000 Hz for pups (Ebelow2000; %)",formants,,R,"LDA, Random Forest",features,,Yes,CC BY 4.0,x,rayyan-305067097,"Vocal repertoire, micro-geographical variation and within-species acoustic partitioning in a highly colonial pinniped, the Cape fur seal.",2021,10.0,,Royal Society Open Science,2054-5703 (Print),8.0,10.0,202241,Martin M and Gridley T and Harvey Elwen S and Charrier I,https://pubmed.ncbi.nlm.nih.gov/34729204/,eng,,England,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1098/rsos.202241,,34729204,PMC8548791,,362,3825,1.0,5
21/08/2025 02:13:35,rayyan-305067099,The Vocal Repertoire of the Bearded Capuchin (Cebidae: Sapajus libidinosus): Implications for Understanding the Complexity of Neotropical Primate Communication,2021,Sapajus libidinosus,bearded capuchin,,Primates,Cebidae,field,group,Yes,10,4037.0,389,Hand,Yes,25,,,No,"Yes, raw",https://datadryad.org/dataset/doi:10.5061/dryad.nvx0k6dsn,yes,linear,1024,Hamming,50,No,,,,Avisoft-SASLab,10,Some,duration,"number of units, duration of longest syllable",,,"peak frequency, min frequency, max frequency, bandwidth",,,"pf start, pf end, pf slope",peak frequency,,R,DFA,features,,No,,x,rayyan-305067099,The Vocal Repertoire of the Bearded Capuchin (Cebidae: Sapajus libidinosus): Implications for Understanding the Complexity of Neotropical Primate Communication.,2021,,,Folia Primatologica; International Journal Of Primatology,1421-9980 (Electronic),92.0,3.0,151-163,Lisboa CA and Mendes FDC and Silveira M and Aguiar LMS,https://pubmed.ncbi.nlm.nih.gov/34350867/,eng,,Netherlands,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1159/000517917,"Animals;Brazil;Cebinae/*psychology;Female;Male;*Vocalization, Animal",34350867,,,10,389,0.0,25
21/08/2025 19:54:40,rayyan-305067104,Not just a pretty song: an overview of the vocal repertoire of Indri indri.,2010,Indri indri,indri,,Primates,Indriidae,field,group,Yes,28,,1670,Hand,Yes,12,3.0,,No,No,,yes,linear,2205,not reported,not reported,Lowpass,12000.0,,"No details given on FFT procedure, only some of the Praat settings",Praat,7,Some,duration,,,"mean F0, max F0, min F0",,,,"average first formant (F1), average second formant (F2), average third
formant (F3)",formants,,SPSS,DFA,features,,Yes,CC BY-NC 4.0,x,rayyan-305067104,Not just a pretty song: an overview of the vocal repertoire of Indri indri.,2010,,,Journal Of Anthropological Sciences = Rivista Di Antropologia : Jass,1827-4765 (Print),88.0,,151-65,Maretti G and Sorrentino V and Finomana A and Gamba M and Giacoma C,https://pubmed.ncbi.nlm.nih.gov/20834055/,eng,,Italy,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",,"Animals;Female;Madagascar;Male;Strepsirhini/*physiology;Vocalization, Animal/*physiology",20834055,,,28,1670,3.0,12
